sensor_id,timestamp,temperature_c,status,temperature_f
SENSOR_2,2026-04-14 09:00:00,63.27,on,145.88600000000002
SENSOR_3,2026-04-14 09:00:00,91.13,on,196.034
SENSOR_4,2026-04-14 09:00:00,77.35,on,171.23
SENSOR_5,2026-04-14 09:00:00,79.86,on,175.748
SENSOR_6,2026-04-14 09:00:00,48.14,on,118.652
SENSOR_7,2026-04-14 09:00:00,143.66,on,290.588
SENSOR_8,2026-04-14 09:00:00,68.0,on,154.4
SENSOR_9,2026-04-14 09:00:00,138.82,on,281.876
SENSOR_10,2026-04-14 09:00:00,114.93,on,238.87400000000002
SENSOR_11,2026-04-14 09:00:00,27.55,on,81.59
